0.0: 0.255179376
0.05263157894736842: 0.222115984
0.10526315789473684: 0.187291016
0.15789473684210525: 0.144933752
0.21052631578947367: 0.08274680799999999
0.2631578947368421: 0.00254656
0.3157894736842105: 0.0007928959999999999
0.3684210526315789: 0.000283672
0.42105263157894735: 0.00016122400000000001
0.47368421052631576: 0.00012592000000000001
0.5263157894736842: 8.584800000000001e-05
0.5789473684210527: 7.2672e-05
0.631578947368421: 5.296799999999999e-05
0.6842105263157894: 4.1848e-05
0.7368421052631579: 3.4832e-05
0.7894736842105263: 2.1912e-05
0.8421052631578947: 1.752e-05
0.894736842105263: 1.1088e-05
0.9473684210526315: 5.335999999999999e-06
1.0: 0.0
