0, 0: 0.0
0, 1: 0.0
0, 2: 0.0
0, 3: 0.0
0, 4: 0.0
0, 5: 0.0
0, 6: 0.0
0, 7: 0.0
0, 8: 0.0
0, 9: 0.0
0, 10: 0.0
0, 11: 0.0
0, 12: 0.0
0, 13: 0.0
0, 14: 0.0
0, 15: 0.0
0, 16: 0.0
0, 17: 0.0
0, 18: 0.0
0, 19: 0.0
1, 0: 0.0
1, 1: 0.0
1, 2: 0.0
1, 3: 0.0
1, 4: 0.0
1, 5: 0.0
1, 6: 0.0
1, 7: 0.0
1, 8: 0.0
1, 9: 0.0
1, 10: 0.0
1, 11: 0.0
1, 12: 0.0
1, 13: 0.0
1, 14: 0.0
1, 15: 0.0
1, 16: 0.0
1, 17: 0.0
1, 18: 0.0
1, 19: 0.0
2, 0: 0.0
2, 1: 0.0
2, 2: 0.0
2, 3: 0.0
2, 4: 0.0
2, 5: 0.0
2, 6: 0.0
2, 7: 0.0
2, 8: 0.0
2, 9: 0.0
2, 10: 0.0
2, 11: 0.0
2, 12: 0.0
2, 13: 0.0
2, 14: 0.0
2, 15: 0.0
2, 16: 0.0
2, 17: 0.0
2, 18: 0.0
2, 19: 0.0
3, 0: 0.0
3, 1: 0.0
3, 2: 0.0
3, 3: 0.0
3, 4: 0.0
3, 5: 0.0
3, 6: 0.0
3, 7: 0.0
3, 8: 0.0
3, 9: 0.0
3, 10: 0.0
3, 11: 0.0
3, 12: 0.0
3, 13: 0.0
3, 14: 0.0
3, 15: 0.0
3, 16: 0.0
3, 17: 0.0
3, 18: 0.0
3, 19: 0.0
4, 0: 0.0
4, 1: 0.0
4, 2: 0.0
4, 3: 0.0
4, 4: 0.0
4, 5: 0.0
4, 6: 0.0
4, 7: 0.0
4, 8: 0.0
4, 9: 0.0
4, 10: 0.0020769585783734492
4, 11: 0.0
4, 12: 0.0
4, 13: 0.0
4, 14: 0.0
4, 15: 0.0
4, 16: 0.0
4, 17: 0.0
4, 18: 0.018737813984392494
4, 19: 0.0
5, 0: 0.0
5, 1: 0.0
5, 2: 0.0
5, 3: 0.0
5, 4: 0.0
5, 5: 0.0
5, 6: 0.0
5, 7: 0.0
5, 8: 2.2222194726311896e-05
5, 9: 0.18515498001116057
5, 10: 0.08542731325499474
5, 11: 0.49834286272845496
5, 12: 0.03601658498319107
5, 13: 2.8478703688810083
5, 14: 5.830247376580826
5, 15: 7.727965147283905
5, 16: 0.2771931239877209
5, 17: 9.83381926030777
5, 18: 16.6582136374491
5, 19: 10.99379862187748
6, 0: 0.0
6, 1: 0.0
6, 2: 0.0
6, 3: 0.0
6, 4: 0.0
6, 5: 0.00022157854296146629
6, 6: 1.6448981379632044
6, 7: 3.8628075441628997
6, 8: 34.45655687137234
6, 9: 27.980538405668923
6, 10: 31.252585928500483
6, 11: 28.466276532694174
6, 12: 29.149503353744805
6, 13: 27.856764542483432
6, 14: 37.762102100838675
6, 15: 30.62055721287179
6, 16: 23.487823152904166
6, 17: 27.264312813273282
6, 18: 26.31441826971306
6, 19: 25.914732993401703
7, 0: 0.0
7, 1: 0.0
7, 2: 0.0
7, 3: 0.053251406518922885
7, 4: 21.673006541689507
7, 5: 24.032921166887974
7, 6: 18.890349702611275
7, 7: 29.515377783496515
7, 8: 23.125115856080374
7, 9: 23.794815250166575
7, 10: 21.535605375395388
7, 11: 27.65636761152302
7, 12: 25.024739439817495
7, 13: 25.21182151469751
7, 14: 23.088447354061064
7, 15: 21.309361507843715
7, 16: 19.979791314289905
7, 17: 23.81511223074398
7, 18: 19.807510260444833
7, 19: 22.892999488989588
8, 0: 0.0
8, 1: 0.0
8, 2: 0.0
8, 3: 18.119442960352682
8, 4: 28.512619212299978
8, 5: 20.649704071140732
8, 6: 38.93814687187929
8, 7: 25.148113056034198
8, 8: 22.03420777752006
8, 9: 26.31041906654369
8, 10: 21.22693983303616
8, 11: 22.15910670736572
8, 12: 23.175469369622878
8, 13: 22.145583041841164
8, 14: 25.042287104320714
8, 15: 22.55248617608915
8, 16: 21.146361412570112
8, 17: 22.746890241410583
8, 18: 20.041515811041464
8, 19: 20.03142549934797
9, 0: 0.0
9, 1: 0.0
9, 2: 17.74271266677473
9, 3: 17.41251916293106
9, 4: 26.06398739917422
9, 5: 19.305731420773082
9, 6: 27.30043001679063
9, 7: 19.14189623620885
9, 8: 25.155731606369372
9, 9: 19.981962655329845
9, 10: 22.493869322112296
9, 11: 23.202133231706686
9, 12: 21.872624062579124
9, 13: 18.669707659356064
9, 14: 21.220703414129094
9, 15: 17.801291361926122
9, 16: 21.709003428602593
9, 17: 22.907256932372693
9, 18: 19.28139569240622
9, 19: 18.40578227445716
10, 0: 0.0
10, 1: 0.0
10, 2: 24.474148188383808
10, 3: 27.0259538901833
10, 4: 28.294249425576126
10, 5: 25.14511018917314
10, 6: 21.919569908970153
10, 7: 20.641102893957868
10, 8: 20.601758819897658
10, 9: 20.891911294345046
10, 10: 18.500254070459633
10, 11: 20.23445964555838
10, 12: 21.593805204397068
10, 13: 20.026822040558326
10, 14: 18.64292847942561
10, 15: 18.599332492782267
10, 16: 16.488813995528034
10, 17: 17.870381303660107
10, 18: 17.945009768612216
10, 19: 19.014021215022076
11, 0: 0.0
11, 1: 0.0
11, 2: 27.518403120015936
11, 3: 25.684779009182094
11, 4: 24.652330051558966
11, 5: 22.985109001349773
11, 6: 23.79129295806517
11, 7: 21.17679849443375
11, 8: 20.667308256238467
11, 9: 18.21577379884431
11, 10: 21.701538948849773
11, 11: 17.655910992436112
11, 12: 18.240669684889728
11, 13: 19.613889663584995
11, 14: 17.97460488170618
11, 15: 18.671027133103927
11, 16: 17.461858572307975
11, 17: 20.000148378929588
11, 18: 17.37313212925801
11, 19: 16.960008215780835
12, 0: 0.0
12, 1: 0.0
12, 2: 31.86053835617633
12, 3: 23.63541985223972
12, 4: 21.618573448931567
12, 5: 23.68873238216678
12, 6: 22.451497040960238
12, 7: 21.02656358999666
12, 8: 20.749245794053422
12, 9: 20.735720099329484
12, 10: 21.136419281836133
12, 11: 19.372868778929114
12, 12: 18.135662588889247
12, 13: 18.32913178776158
12, 14: 17.574907628176735
12, 15: 18.965488931590226
12, 16: 17.982689553713428
12, 17: 17.115259644568432
12, 18: 16.410961877058725
12, 19: 18.82643669086974
13, 0: 0.0
13, 1: 0.0
13, 2: 35.20732783057669
13, 3: 26.845379057932586
13, 4: 22.46392493946478
13, 5: 20.85353945367504
13, 6: 22.54688494570204
13, 7: 21.161782625856578
13, 8: 21.45660250358633
13, 9: 19.705604472153354
13, 10: 17.797838359517044
13, 11: 16.906571558313445
13, 12: 16.066385911426043
13, 13: 18.563236076172906
13, 14: 16.02964638746809
13, 15: 18.005340305198914
13, 16: 15.775084019941279
13, 17: 17.327942133205944
13, 18: 16.720543280690908
13, 19: 18.089370886697434
14, 0: 0.0
14, 1: 0.0
14, 2: 32.340234817823806
14, 3: 26.98278814304882
14, 4: 26.103720584359834
14, 5: 22.521010590187508
14, 6: 20.490661407248115
14, 7: 19.46593666674569
14, 8: 21.719459441401995
14, 9: 18.29512014956679
14, 10: 20.10694448534632
14, 11: 17.64267181060277
14, 12: 16.99859678471228
14, 13: 17.721381141573655
14, 14: 17.462905044660438
14, 15: 17.619881687848828
14, 16: 16.763660376570186
14, 17: 16.14023362999782
14, 18: 16.288254332765938
14, 19: 15.384556317059323
15, 0: 0.0
15, 1: 0.0
15, 2: 24.723781584036622
15, 3: 25.4293434925226
15, 4: 26.83054052147898
15, 5: 23.883191582290454
15, 6: 20.113287560890896
15, 7: 18.649036662910365
15, 8: 19.4960844146437
15, 9: 17.821326179997996
