0: 1226
1: 702
2: 626
3: 636
4: 577
5: 517
6: 483
7: 497
8: 502
9: 507
10: 493
11: 481
12: 471
13: 446
14: 473
15: 444
16: 428
17: 447
18: 432
19: 404
20: 412
21: 404
22: 440
23: 418
24: 414
25: 433
26: 432
27: 455
28: 457
29: 412
30: 406
31: 387
32: 396
33: 372
34: 346
35: 340
36: 330
37: 338
38: 339
39: 339
40: 332
41: 295
42: 343
43: 301
44: 315
45: 275
46: 285
47: 302
48: 286
49: 281
50: 264
51: 289
52: 235
53: 239
54: 223
55: 239
56: 242
57: 232
58: 231
59: 231
60: 221
61: 228
62: 208
63: 232
64: 237
65: 234
66: 254
67: 249
68: 227
69: 236
70: 232
71: 226
72: 225
73: 217
74: 220
75: 228
76: 234
77: 220
78: 211
79: 217
80: 203
81: 202
82: 211
83: 203
84: 197
85: 205
86: 201
87: 208
88: 198
89: 201
90: 195
91: 184
92: 190
93: 162
94: 175
95: 162
96: 162
97: 167
98: 170
99: 195
